County,FIPS,Name,StartMonthJan,StartMonthFeb,StartMonthMar,StartMonthApr,StartMonthMay,StartMonthJun,StartMonthJul,StartMonthAug,StartMonthSept,StartMonthOct,StartMonthNov,StartMonthDec,StartYear2013,StartYear2014,StartYear2015,StartYear2016,StartYear2017,StartHour0,StartHour1,StartHour2,StartHour3,StartHour4,StartHour5,StartHour6,StartHour7,StartHour8,StartHour9,StartHour10,StartHour11,StartHour12,StartHour13,StartHour14,StartHour15,StartHour16,StartHour17,StartHour18,StartHour19,StartHour20,StartHour21,StartHour22,StartHour23,StartDayMon,StartDayTues,StartDayWed,StartDayThurs,StartDayFri,StartDaySat,StartDaySun,depressed_raw,suicidal_thoughts_raw,self_harm_raw,third_party_raw,abuse_physical_raw,abuse_sexual_raw,anxiety_raw,bereavement_raw,bully_raw,eating_raw,family_raw,friend_raw,gender_lgbtq_raw,isolated_raw,medical_raw,other_raw,relationship_raw,stress_raw,substance_abuse_raw,financial_raw,mental_raw,none_raw,work_raw,testing_raw,abuse_emotional_raw,domestic_violence_raw,military_raw,school_raw,election_raw,homeless_raw,homicide_raw,medication_raw,psychiatric_hospitalization_raw,therapist_psychiatrist_raw,sexual_assault_raw,suicidal_desire_raw,suicidal_intent_raw,suicidal_capability_raw,suicidal_timeframe_raw,active_rescue_raw,mandatory_report_raw,Convo_length_min_MEAN,Convo_length_min_MEDIAN,Convo_length_min_MIN,Convo_length_min_MAX,convo,NumConvos_MEAN,NumConvos_MEDIAN,NumConvos_MIN,NumConvos_MAX,FirstToLastConvoMin_MEAN,FirstToLastConvoMin_MEDIAN,FirstToLastConvoMin_MIN,FirstToLastConvoMin_MAX,FirstToLastConvoHours_MEAN,FirstToLastConvoHours_MEDIAN,FirstToLastConvoHours_MIN,FirstToLastConvoHours_MAX,FirstToLastConvoDays_MEAN,FirstToLastConvoDays_MEDIAN,FirstToLastConvoDays_MIN,FirstToLastConvoDays_MAX,actor_meanlength_min,NumIssues_MEAN,NumIssues_MEDIAN,NumIssues_MIN,NumIssues_MAX,abuse_emotional_EVER_SUM,abuse_physical_EVER_SUM,abuse_sexual_EVER_SUM,anxiety_EVER_SUM,bereavement_EVER_SUM,bully_EVER_SUM,depressed_EVER_SUM,domestic_violence_EVER_SUM,eating_EVER_SUM,election_EVER_SUM,family_EVER_SUM,financial_EVER_SUM,friend_EVER_SUM,gender_lgbtq_EVER_SUM,homeless_EVER_SUM,homicide_EVER_SUM,isolated_EVER_SUM,medical_EVER_SUM,medication_EVER_SUM,mental_EVER_SUM,military_EVER_SUM,other_EVER_SUM,psychiatric_hospitalization_EVER_SUM,relationship_EVER_SUM,school_EVER_SUM,self_harm_EVER_SUM,sexual_assault_EVER_SUM,stress_EVER_SUM,substance_abuse_EVER_SUM,suicidal_capability_EVER_SUM,suicidal_desire_EVER_SUM,suicidal_intent_EVER_SUM,suicidal_thoughts_EVER_SUM,suicidal_timeframe_EVER_SUM,therapist_psychiatrist_EVER_SUM,work_EVER_SUM,UndupNumIssues_MEAN,UndupNumIssues_MEDIAN,UndupNumIssues_MIN,UndupNumIssues_MAX,Stigma_MEAN,Stigma_MEDIAN,Stigma_MIN,Stigma_MAX
GENESEE,36037,Genesee,20,19,21,17,12,15,22,18,13,9,19,10,4,15,37,81,58,19,20,24,18,19,7,4,4,5,1,0,3,4,3,6,5,5,4,6,4,9,7,7,11,31,23,37,29,27,20,28,72,40,26,5,1,2,40,2,7,12,34,12,7,11,3,6,24,28,7,0,9,17,1,1,3,1,0,5,1,0,0,1,1,3,0,31,16,12,3,2,1,49.03873106,48.10833335,3.466666698,110.0333334,195,6.230769231,2,1,21,601084.656,441453.8833,74.55,1686250.583,10018.0776,7357.564722,1.2425,28104.17639,417.4199,306.5651968,0.051770833,1171.00735,49.52441232,2.158974359,2,0,13,4,2,3,81,14,9,107,2,37,1,97,0,45,15,0,0,52,8,1,41,0,7,1,48,28,64,0,81,41,43,66,54,72,8,3,1,5.312820513,4,0,14,2.463276836,3,1,5
GREENE,36039,Greene,10,8,6,4,3,13,8,12,1,6,8,1,4,32,4,22,18,3,9,5,9,10,4,3,2,3,1,1,0,1,2,3,3,1,3,5,3,3,0,2,4,7,10,9,15,19,11,9,34,21,5,1,0,3,4,2,2,1,17,4,2,7,0,5,10,2,3,3,2,3,0,1,1,0,0,6,0,0,0,0,0,0,0,5,2,1,1,1,1,54.57692308,49.98333333,5.5,113.9333334,80,14.1,12,1,30,1008952.395,514030.5833,268.4666666,1835798.383,16815.87325,8567.176389,4.474444443,30596.63972,700.6613853,356.9656829,0.186435185,1274.859988,54.69093568,1.7875,1,0,9,4,0,12,20,2,34,64,0,1,0,55,6,35,2,0,0,53,0,0,12,0,15,0,15,34,10,0,42,12,2,8,5,39,2,0,0,6.05,8,0,9,2.15625,2,1,5
,36041,Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERKIMER,36043,Herkimer,3,2,8,2,8,16,16,1,6,8,6,8,0,4,9,34,37,5,8,6,6,4,5,4,4,0,0,1,2,5,1,1,0,3,1,1,4,5,5,4,9,13,18,9,12,13,11,8,21,14,14,4,1,0,12,4,2,2,14,4,1,8,2,5,18,16,3,1,3,7,1,2,0,0,0,4,0,0,3,1,0,1,0,10,5,4,1,0,0,52.68030303,56.6,2.333333365,114.1,84,3.761904762,2,1,14,364041.6135,215499.8167,2257.583333,1742471.45,6067.360226,3591.663611,37.62638889,29041.19083,252.8066761,149.6526505,1.567766204,1210.049618,52.46068324,2.083333333,2,0,7,0,1,0,25,20,2,38,0,5,0,36,2,8,2,0,11,30,2,2,12,0,16,0,34,4,22,0,37,12,20,33,23,35,5,17,2,5.428571429,4,0,15,2.306666667,3,1,5
JEFFERSON,36045,Jefferson,19,30,35,24,34,43,27,13,14,14,35,26,13,25,57,118,101,34,25,34,26,11,13,14,5,5,7,3,5,8,4,13,6,11,9,11,13,9,8,17,23,40,58,43,51,41,36,45,91,63,33,9,4,4,58,16,10,4,56,34,10,32,1,22,72,54,6,2,14,23,6,9,1,0,1,9,2,0,0,3,0,5,0,45,15,13,4,2,2,52.10655173,48.61666667,2.3,115.8166667,314,3.076433121,2,1,13,244998.1955,154155.2833,16.3,1494032.083,4083.303259,2569.254722,0.271666667,24900.53472,170.1376358,107.0522801,0.011319444,1037.52228,52.85986491,2.197452229,2,0,10,1,7,8,97,41,18,147,0,7,5,95,2,69,16,0,0,82,1,5,32,1,28,0,106,25,72,0,104,12,28,93,33,120,10,9,9,4.085987261,3,0,13,2.516363636,3,1,5
KINGS,36047,Kings,270,202,276,233,278,297,314,116,160,158,226,231,35,179,406,1102,1039,171,214,234,211,174,141,92,63,55,29,35,30,50,64,74,89,90,108,136,116,147,133,139,166,409,422,366,420,396,339,409,731,530,210,93,29,56,501,48,59,61,496,253,50,244,74,215,531,462,55,49,110,171,71,48,42,9,0,142,17,19,0,15,1,22,17,415,183,128,50,13,12,50.28575464,47.84166665,0.933333365,115.8333334,2761,5.567910177,2,1,48,273316.2928,131182.85,4.033333333,1558940.767,4555.271546,2186.380833,0.067222222,25982.34611,189.8029811,91.09920139,0.002800926,1082.597755,50.92744977,2.13509598,2,0,11,119,62,170,1077,154,159,1393,31,218,27,1096,162,662,125,47,0,709,282,123,358,1,573,3,926,400,558,69,1090,141,382,825,507,1012,178,159,196,5.068453459,4,0,19,2.515201999,3,1,5
,36049,Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVINGSTON,36051,Livingston,3,3,5,11,6,19,5,10,4,7,4,3,0,22,11,32,15,7,10,7,4,6,3,3,3,0,1,1,1,2,0,1,3,1,6,1,1,6,2,4,7,14,14,8,9,8,8,19,24,28,14,2,2,3,8,0,3,0,11,9,2,6,3,2,15,11,2,1,2,6,1,3,1,0,0,0,0,0,0,0,0,0,0,16,10,7,4,4,3,52.59513889,49.0833333,4.133333302,108.1666666,80,7.0375,4,1,17,407785.6391,605072.5,1475.166667,619188.5833,6796.427318,10084.54167,24.58611111,10319.80972,283.1844716,420.1892361,1.024421296,429.9920718,52.86397428,2.3125,2,0,9,1,17,18,35,0,26,53,0,0,0,45,1,33,3,0,0,37,14,0,12,0,3,0,50,0,44,0,46,10,21,26,25,48,21,0,1,7.375,5.5,0,15,1.953846154,1,1,5
MADISON,36053,Madison,3,3,4,1,7,9,3,6,1,2,1,3,0,8,6,13,16,7,2,7,1,3,0,0,1,0,0,0,1,0,1,0,1,1,2,4,5,2,1,4,0,8,5,8,6,7,3,6,12,9,8,2,0,1,5,0,2,4,10,6,3,3,2,5,13,6,2,1,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,7,3,2,0,1,1,56.54254386,53.02499997,7.433333302,112.3,43,2.255813953,2,1,5,114772.4136,119197.9167,4220.4,218891.15,1912.873561,1986.631944,70.34,3648.185833,79.70306503,82.77633102,2.930833333,152.0077431,57.89659391,2.488372093,2,0,8,0,0,1,14,0,6,21,0,12,0,17,2,8,8,2,0,9,7,1,1,0,9,0,21,0,15,0,15,5,2,10,3,14,0,0,0,4.720930233,5,0,9,2.142857143,2,1,5
MONROE,36055,Monroe,280,255,261,213,240,289,338,163,148,185,209,207,25,175,400,1195,993,212,282,279,233,186,137,67,55,36,31,23,24,34,43,70,86,88,94,115,136,127,111,148,171,400,402,405,435,404,362,380,807,618,449,84,46,89,554,62,53,119,457,278,68,258,75,192,484,484,72,47,125,151,64,39,26,11,3,102,14,11,1,24,12,30,11,497,205,157,62,24,18,51.4078689,48.96666663,1.666666667,115.9833334,2788,11.19942611,3,1,95,454960.6791,247760,4.716666698,1972908.733,7582.677985,4129.333333,0.078611112,32881.81222,315.944916,172.0555556,0.003275463,1370.075509,52.02289595,2.355451937,2,0,17,109,173,286,1372,225,233,1739,27,546,40,1281,306,962,242,24,42,966,440,76,589,12,870,164,1169,554,1113,52,1355,322,657,1200,771,1346,380,268,343,7.264705882,6,0,23,2.288915566,3,1,5
MONTGOMERY,36057,Montgomery,2,1,0,0,2,4,9,0,1,1,1,0,1,0,0,5,15,2,1,4,3,0,0,0,0,0,0,0,1,0,2,1,1,0,1,1,0,1,0,1,2,6,6,4,2,2,0,1,3,2,1,2,0,0,1,0,0,0,3,1,0,2,0,2,5,4,1,1,1,3,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,48.75250001,48.22500002,3.533333333,115.65,21,5.380952381,2,1,11,72724.69545,34932.08333,34932.08333,242791.45,1212.078258,582.2013889,582.2013889,4046.524167,50.50326073,24.2583912,24.2583912,168.6051736,50.73886364,1.428571429,1,0,3,0,0,0,2,0,0,12,0,9,0,3,2,1,0,0,0,9,0,0,1,0,10,0,9,0,2,0,11,2,0,9,0,10,0,1,1,4.476190476,6,0,8,2.888888889,3,1,5
NASSAU,36059,Nassau,292,300,349,320,308,390,419,181,189,219,309,281,37,246,617,1420,1237,251,315,343,321,245,189,127,83,43,24,22,41,57,87,86,99,104,111,126,138,140,177,204,224,520,514,544,511,476,485,507,953,623,341,105,36,47,765,79,115,123,662,396,113,356,68,301,598,678,68,68,118,210,71,44,47,6,4,169,32,20,0,16,11,23,10,492,242,164,64,21,13,49.84411369,47.30000003,1.5,115.8666667,3557,8.85915097,3,1,63,401347.4353,279329.7167,6.166666667,1946554.367,6689.123921,4655.495278,0.102777778,32442.57278,278.7134967,193.9789699,0.004282407,1351.773866,50.65285953,2.215068878,2,0,12,221,187,254,1804,288,424,1996,25,416,52,1671,342,1246,523,46,0,1232,384,88,493,18,1088,74,1332,744,919,33,1728,187,572,1330,784,1486,333,120,339,6.403992128,5,0,22,2.537144703,3,1,5
NEW YORK,36061,New York,569,570,702,639,703,823,957,417,390,413,665,592,96,519,1289,2763,2773,539,569,590,556,498,329,291,165,113,94,90,97,138,183,194,258,280,289,322,317,308,368,434,418,1124,1119,992,1079,1107,1029,990,2057,1455,570,260,77,121,1346,124,152,196,1357,688,151,754,227,632,1418,1336,146,193,311,473,231,122,134,44,11,395,46,36,4,41,20,53,31,1145,454,304,105,52,29,49.55447949,46.26666663,0.749999968,115.9166666,7440,8.286827957,2,1,98,386426.2128,225082.3667,4.599999968,2017087.917,6440.43688,3751.372778,0.076666666,33618.13194,268.3515367,156.3071991,0.003194444,1400.755498,50.23160941,2.199596774,2,0,14,461,364,330,3209,463,571,3871,220,799,101,3063,794,2213,503,165,22,2366,875,331,1145,21,2205,115,2691,1197,1618,196,3273,390,1100,2379,1363,2790,530,273,821,5.756451613,4,0,26,2.500542047,3,1,5
NIAGARA,36063,Niagara,32,17,15,10,29,33,18,13,17,8,17,15,0,13,34,88,89,17,18,18,23,13,7,5,4,5,7,2,1,2,3,6,9,1,12,11,11,11,12,11,15,40,29,32,35,32,23,33,71,64,28,9,4,6,34,9,16,2,44,15,4,20,2,14,43,30,4,2,10,16,2,5,5,1,1,7,0,2,1,1,0,0,2,53,33,28,16,3,2,53.02739965,50.1333333,5.299999968,114.7666667,224,4.549107143,3,1,14,286635.053,89650.2,12.41666667,1362654.417,4777.250883,1494.17,0.206944444,22710.90694,199.0521201,62.25708333,0.008622685,946.2877894,55.64284678,2.5625,2,0,11,6,9,19,103,24,41,127,1,4,0,109,6,47,19,2,6,51,11,1,24,1,25,0,88,28,92,3,103,7,52,96,62,109,36,0,8,5.892857143,6,0,15,2.248730964,2,1,5
ONEIDA,36065,Oneida,64,88,84,52,87,81,80,30,22,39,79,70,2,22,98,317,337,63,72,54,49,48,51,26,24,12,11,6,12,13,21,24,28,28,26,20,39,35,38,33,43,115,120,121,130,79,107,104,202,216,57,26,9,16,121,23,43,27,180,70,14,60,20,54,130,98,16,17,30,51,17,16,11,4,1,25,2,5,0,2,1,3,8,171,100,47,17,4,4,48.89654696,45.39999998,2.516666667,115.3833333,776,14.67525773,3.5,1,82,270490.4295,189289.5,25.28333333,1205153.367,4508.173825,3154.825,0.421388889,20085.88944,187.8405761,131.4510417,0.01755787,836.9120602,49.52492583,2.341494845,2,0,11,128,22,86,364,142,191,493,46,79,3,433,70,302,74,42,0,314,170,49,232,3,246,11,319,82,226,48,354,39,208,367,232,399,112,50,47,7.710051546,6,0,21,2.343478261,3,1,5
ONONDAGA,36067,Onondaga,153,147,192,159,190,216,230,93,139,129,167,118,42,164,242,772,713,145,189,193,167,123,98,65,40,30,21,18,23,27,43,44,50,59,61,69,74,91,75,104,124,306,301,252,283,280,248,263,558,391,211,59,20,42,375,41,52,68,364,204,75,208,87,150,371,316,37,29,76,90,41,31,27,4,2,72,1,8,0,9,5,22,11,299,146,109,35,13,11,51.96394166,49.11666663,2.250000032,115.95,1933,10.54526643,3,1,75,409835.2881,300915.95,15.85000003,1734164.35,6830.588134,5015.265833,0.264166667,28902.73917,284.6078389,208.9694097,0.011006944,1204.280799,52.74082195,2.310398345,2,0,14,118,54,127,1005,247,166,1199,7,290,10,1012,99,731,230,12,0,763,289,80,390,10,678,14,698,242,630,71,939,187,344,728,425,921,172,257,247,6.92809105,5,0,22,2.410241318,3,1,5
ONTARIO,36069,Ontario,18,20,23,12,10,10,12,5,13,18,18,10,0,3,36,71,59,13,30,15,18,11,7,4,3,2,4,0,3,2,4,4,3,5,4,1,2,8,8,9,9,22,30,33,16,20,27,21,54,45,26,0,4,15,29,5,3,3,34,13,8,11,3,8,27,28,3,0,15,17,2,2,3,0,0,9,1,0,0,0,0,3,1,42,16,11,2,1,1,44.69024944,39.71666667,1.683333302,107.65,169,20.0887574,11,1,51,549385.5598,522934.0833,12.6166667,976381.3167,9156.425996,8715.568056,0.210277778,16273.02194,381.5177498,363.148669,0.008761574,678.042581,47.02523962,2.50887574,2,0,11,51,67,67,125,14,22,129,0,21,3,113,0,96,71,0,0,35,19,0,88,0,84,0,102,24,114,1,125,17,90,128,105,128,3,63,12,11.34319527,13,0,18,2.203703704,1,1,5
ORANGE,36071,Orange,95,116,111,118,108,135,125,63,83,84,105,110,18,144,247,483,361,84,107,120,111,82,65,35,17,9,11,10,14,13,26,42,47,46,39,46,62,48,67,77,75,213,192,175,163,188,149,173,363,238,191,42,19,21,227,19,39,35,236,126,22,100,33,86,243,226,28,22,42,61,23,14,12,2,3,65,3,4,3,6,3,8,5,174,59,45,18,13,11,52.21081081,49.7083333,2.799999936,115.9833334,1253,8.661612131,3,1,55,362119.3334,276273.9167,12.55000003,1434624.933,6035.322223,4604.565278,0.209166667,23910.41556,251.4717593,191.8568866,0.008715278,996.2673148,52.66424251,2.193934557,2,0,13,60,96,135,571,125,197,711,4,173,3,583,55,452,119,7,6,453,102,39,220,4,312,3,561,226,393,7,570,179,156,378,182,503,79,46,72,6.210694334,5,0,18,2.392956441,3,1,5
ORLEANS,36073,Orleans,6,3,5,3,9,17,12,1,3,3,6,8,0,2,5,35,34,9,7,4,3,4,4,2,2,1,1,1,0,1,0,1,4,4,3,5,2,4,6,4,4,10,7,13,11,11,13,11,15,12,8,1,1,3,12,1,5,1,16,5,5,4,5,1,18,7,2,2,2,11,1,0,0,1,1,2,1,5,0,1,0,1,0,11,8,7,2,1,1,50.28921569,45.45000002,2.916666635,108.45,76,4.065789474,3.5,1,11,167197.5059,88111.26667,299.5166667,521381.2833,2786.625098,1468.521111,4.991944444,8689.688056,116.1093791,61.18837963,0.207997685,362.0703356,51.13685859,2.184210526,2,0,9,0,8,13,36,1,19,38,4,3,1,29,14,21,12,5,0,9,15,9,11,4,10,0,35,6,25,0,31,10,11,16,11,20,9,9,4,5.907894737,5,0,15,2.577464789,3,1,5
OSWEGO,36075,Oswego,43,27,23,22,28,32,45,17,18,19,21,23,17,19,41,129,112,31,44,36,46,23,6,11,2,4,2,3,5,0,4,11,8,8,9,7,18,10,7,9,14,48,51,39,49,45,43,43,105,68,51,11,7,8,55,16,5,4,62,25,5,22,9,14,45,53,3,4,15,19,8,4,3,0,1,12,0,0,0,1,1,3,0,52,16,13,6,6,3,48.59982935,44.61666667,3.366666667,112.4666667,318,7.965408805,3,1,28,462370.3286,290197.25,48.66666663,1715332.883,7706.172143,4836.620833,0.811111111,28588.88139,321.090506,201.5258681,0.033796296,1191.203391,49.87944006,2.176100629,2,0,10,4,45,20,167,71,34,199,0,5,0,154,5,86,17,0,0,51,54,28,38,1,94,28,105,52,123,0,173,29,24,126,37,162,14,39,18,6.298742138,6,0,15,2.299295775,3,1,5
OTSEGO,36077,Otsego,26,28,12,20,20,17,10,15,16,8,24,11,2,62,25,76,42,13,17,13,26,22,17,6,10,2,4,2,2,3,4,2,4,4,7,6,9,11,3,9,11,28,34,36,28,30,23,28,67,40,39,7,2,8,36,6,4,3,36,19,3,25,5,14,38,36,5,2,7,9,2,0,0,0,0,9,0,0,0,0,0,1,0,29,13,7,1,3,3,59.18611111,57.80000002,5.816666635,110.4833334,207,19.36714976,6,1,54,470883.7294,555470.3333,108.6333334,856296.8,7848.062156,9257.838889,1.810555556,14271.61333,327.0025898,385.743287,0.075439815,594.6505556,61.04263268,2.207729469,2,0,10,0,9,50,131,7,56,151,0,18,0,121,2,98,8,0,0,119,74,0,23,0,58,0,123,66,114,0,127,6,51,75,60,138,2,2,4,8.178743961,8,0,14,2.268156425,3,1,5
PUTNAM,36079,Putnam,35,37,27,38,32,54,44,20,11,17,17,42,1,49,61,138,125,26,37,42,32,26,15,9,8,5,2,2,1,5,4,8,19,16,16,10,13,15,22,21,20,54,75,41,40,56,55,53,106,51,46,15,2,4,55,3,7,15,85,43,5,35,14,36,66,51,7,7,5,16,6,7,3,0,0,16,0,2,0,0,0,1,0,33,18,10,4,2,3,48.78438755,46.80833335,2.3,114.2166667,374,6.965240642,3,1,23,288530.4081,245357.3333,51.98333333,1190137.75,4808.840135,4089.288889,0.866388889,19835.62917,200.3683389,170.387037,0.036099537,826.4845486,49.05193544,1.967914439,1,0,10,20,24,7,183,20,44,229,0,52,0,201,9,110,37,14,0,155,52,0,12,0,136,0,148,68,139,0,182,31,17,110,59,161,11,2,42,6.082887701,5,0,14,2.613207547,3,1,5
QUEENS,36081,Queens,223,243,321,253,277,313,301,135,179,171,285,241,19,208,560,1124,1031,216,225,258,230,182,142,105,73,47,24,38,45,46,66,70,75,88,124,116,166,127,155,150,174,454,453,422,408,378,400,427,796,506,242,90,23,60,535,44,85,83,503,292,66,293,73,233,506,528,53,55,106,194,58,40,44,13,3,149,12,16,0,7,11,28,8,413,200,132,43,19,20,49.73770239,46.64166667,2.816666667,115.5333334,2942,8.20632223,2,1,55,304039.3487,143889.15,3.433333333,1867886.917,5067.322478,2398.1525,0.057222222,31131.44861,211.1384366,99.92302083,0.002384259,1297.143692,50.47977648,2.113868117,2,0,15,183,142,171,1319,273,281,1635,51,348,28,1280,203,876,187,35,0,989,394,63,427,8,945,35,1056,490,645,51,1357,156,360,981,507,1185,109,139,248,5.831747111,4,0,20,2.570482866,3,1,5
RENSSELAER,36083,Rensselaer,7,9,15,6,9,21,15,1,1,3,8,2,0,1,10,34,52,11,7,14,12,6,4,2,3,1,3,4,1,2,2,0,0,2,0,4,3,5,1,7,3,16,16,12,17,8,11,17,19,23,13,3,1,1,9,5,2,3,18,13,2,10,2,10,14,13,3,2,1,7,2,3,1,0,0,3,0,0,0,0,0,0,1,19,12,8,5,0,0,46.96485507,43.61666668,6.066666698,113.7833333,97,5.525773196,3,1,15,202320.8564,226366.2167,1184.183333,391920.2167,3372.014273,3772.770278,19.73638889,6532.003611,140.5005947,157.1987616,0.822349537,272.1668171,47.52362268,2.216494845,2,0,9,1,6,6,32,34,12,56,0,11,0,56,2,36,14,0,0,29,2,0,11,0,40,0,31,26,36,4,44,3,24,34,26,41,19,0,5,6.608247423,8,0,13,2.494252874,3,1,5
RICHMOND,36085,Richmond,54,49,61,49,57,84,58,36,28,36,73,87,10,64,139,254,205,49,50,52,62,48,36,19,13,10,11,6,8,7,17,14,16,17,26,32,29,25,34,44,47,101,86,107,103,89,85,101,199,136,61,27,8,15,105,17,32,23,109,69,15,56,19,63,134,109,8,5,15,36,9,3,6,0,0,24,2,3,0,0,0,2,6,112,59,39,13,5,2,50.95382237,48.88333333,1.216666698,115.85,672,10.08928571,3,1,60,403645.949,269291.35,8.633333333,1790770.367,6727.432484,4488.189167,0.143888889,29846.17278,280.3096868,187.0078819,0.00599537,1243.590532,51.8876196,2.191964286,2,0,12,19,86,43,282,52,119,376,0,99,2,291,5,282,118,4,0,226,118,0,93,0,228,0,282,133,195,18,303,77,163,260,195,285,97,6,99,6.779761905,5,0,21,2.477031802,3,1,5
ROCKLAND,36087,Rockland,90,47,64,53,56,90,78,27,38,55,73,69,6,49,144,280,261,55,62,55,63,58,44,23,13,10,7,3,6,10,13,22,23,18,27,33,40,31,37,35,52,102,94,115,125,132,77,95,189,150,58,24,6,6,152,15,21,43,136,93,20,72,17,53,135,120,9,12,31,34,18,9,10,1,1,30,3,2,0,1,1,6,2,109,47,36,17,5,4,51.75921185,49.76666663,3.816666635,115.05,740,7.577027027,3,1,46,394239.9327,193625.4667,11.44999997,1499629.25,6570.665545,3227.091111,0.190833333,24993.82083,273.7777311,134.4621296,0.007951389,1041.409201,52.48587056,2.191891892,2,0,13,36,21,15,333,69,103,408,3,183,5,331,29,299,94,22,0,226,80,4,145,1,179,2,249,121,176,5,327,31,95,255,117,283,64,16,101,5.983783784,4,0,16,2.475232198,3,1,5
SAINT LAWRENCE,36089,St Lawrence,16,16,34,22,31,55,31,14,23,19,21,23,0,65,36,92,112,32,40,32,19,18,10,5,4,0,2,4,5,3,1,9,12,5,9,6,12,11,17,21,28,48,36,50,51,41,43,36,95,42,51,7,4,7,46,13,2,27,50,31,3,26,8,23,54,49,11,6,13,23,2,9,1,0,0,17,0,2,0,0,0,1,0,29,8,4,2,0,0,48.49630282,45.57499998,3.199999936,113.8333333,305,9.97704918,3,1,41,615141.7078,479089.6,52.9166667,1729446.033,10252.3618,7984.826667,0.881944445,28824.10056,427.1817415,332.7011111,0.036747685,1201.00419,48.83686532,2.055737705,2,0,9,2,54,58,124,27,2,199,0,58,0,131,53,98,3,2,0,121,88,0,60,0,115,0,127,34,129,23,134,67,11,65,35,123,3,1,42,6.521311475,4,0,17,2.477941176,3,1,5
SARATOGA,36091,Saratoga,7,12,7,10,9,11,18,5,8,8,25,14,2,8,12,70,42,8,12,15,14,8,6,6,2,2,3,3,1,3,1,5,2,1,4,6,3,6,7,6,10,18,21,18,17,20,22,18,28,29,19,5,1,5,17,4,7,3,26,13,4,15,4,11,29,20,2,1,6,8,0,2,2,1,0,5,1,0,0,0,0,0,1,20,6,3,0,4,2,49.27613333,45.41666663,3.933333365,113.3,134,3.731343284,2,1,13,262423.4744,128297.3833,1429.7,1314924.65,4373.724574,2138.289722,23.82833333,21915.41083,182.2385239,89.09540509,0.992847222,913.1421181,49.74469729,2.111940299,2,0,11,10,13,19,39,10,13,63,7,3,1,59,1,39,5,0,0,43,10,0,11,0,36,0,49,7,26,1,47,2,14,39,18,48,2,0,0,4.73880597,4,0,11,2.47107438,3,1,5
SCHENECTADY,36093,Schenectady,18,16,14,7,33,13,25,10,7,4,13,14,3,4,13,86,68,14,21,14,13,14,9,5,5,0,0,2,2,4,6,4,2,7,9,9,2,7,7,12,6,24,26,27,31,22,19,25,48,37,29,6,0,4,22,4,12,7,31,19,5,14,3,12,36,23,3,2,7,8,0,4,3,1,0,14,1,0,0,1,0,1,0,34,18,12,7,4,4,49.4320911,47.83333337,1.733333333,114.8833333,174,2.902298851,2,1,9,163440.7149,47174.63333,11.35000006,480558.55,2724.011915,786.2438889,0.189166668,8009.309167,113.5004965,32.76016204,0.007881944,333.7212153,50.31264551,2.356321839,2,0,13,3,0,10,46,10,22,80,2,13,1,58,3,33,18,0,0,30,9,4,10,0,25,0,54,21,50,0,46,9,18,57,31,60,12,1,0,4.229885057,3,0,15,2.358974359,3,1,5
SCHOHARIE,36095,Schoharie,2,1,0,0,3,3,1,2,0,3,0,4,0,0,1,11,7,4,1,0,3,0,0,0,1,0,0,0,1,0,0,0,3,1,0,1,1,1,0,1,1,5,2,2,3,3,2,2,1,2,1,0,0,0,3,1,0,0,3,4,1,1,0,3,9,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,47.278125,49.49166663,7.249999968,102.0666667,19,3.947368421,1,1,8,148782.1833,148782.1833,148782.1833,148782.1833,2479.703056,2479.703056,2479.703056,2479.703056,103.3209606,103.3209606,103.3209606,103.3209606,48.4265432,1.894736842,2,1,5,0,0,0,10,1,0,1,0,0,0,10,0,11,1,0,0,1,0,0,2,0,3,0,10,1,1,0,9,0,0,2,0,2,0,0,0,3.421052632,4,1,5,3.117647059,3,1,5
