County,FIPS,Name,StartMonthJan,StartMonthFeb,StartMonthMar,StartMonthApr,StartMonthMay,StartMonthJun,StartMonthJul,StartMonthAug,StartMonthSept,StartMonthOct,StartMonthNov,StartMonthDec,StartYear2013,StartYear2014,StartYear2015,StartYear2016,StartYear2017,StartHour0,StartHour1,StartHour2,StartHour3,StartHour4,StartHour5,StartHour6,StartHour7,StartHour8,StartHour9,StartHour10,StartHour11,StartHour12,StartHour13,StartHour14,StartHour15,StartHour16,StartHour17,StartHour18,StartHour19,StartHour20,StartHour21,StartHour22,StartHour23,StartDayMon,StartDayTues,StartDayWed,StartDayThurs,StartDayFri,StartDaySat,StartDaySun,depressed_raw,suicidal_thoughts_raw,self_harm_raw,third_party_raw,abuse_physical_raw,abuse_sexual_raw,anxiety_raw,bereavement_raw,bully_raw,eating_raw,family_raw,friend_raw,gender_lgbtq_raw,isolated_raw,medical_raw,other_raw,relationship_raw,stress_raw,substance_abuse_raw,financial_raw,mental_raw,none_raw,work_raw,testing_raw,abuse_emotional_raw,domestic_violence_raw,military_raw,school_raw,election_raw,homeless_raw,homicide_raw,medication_raw,psychiatric_hospitalization_raw,therapist_psychiatrist_raw,sexual_assault_raw,suicidal_desire_raw,suicidal_intent_raw,suicidal_capability_raw,suicidal_timeframe_raw,active_rescue_raw,mandatory_report_raw,Convo_length_min_MEAN,Convo_length_min_MEDIAN,Convo_length_min_MIN,Convo_length_min_MAX,convo,NumConvos_MEAN,NumConvos_MEDIAN,NumConvos_MIN,NumConvos_MAX,FirstToLastConvoMin_MEAN,FirstToLastConvoMin_MEDIAN,FirstToLastConvoMin_MIN,FirstToLastConvoMin_MAX,FirstToLastConvoHours_MEAN,FirstToLastConvoHours_MEDIAN,FirstToLastConvoHours_MIN,FirstToLastConvoHours_MAX,FirstToLastConvoDays_MEAN,FirstToLastConvoDays_MEDIAN,FirstToLastConvoDays_MIN,FirstToLastConvoDays_MAX,actor_meanlength_min,NumIssues_MEAN,NumIssues_MEDIAN,NumIssues_MIN,NumIssues_MAX,abuse_emotional_EVER_SUM,abuse_physical_EVER_SUM,abuse_sexual_EVER_SUM,anxiety_EVER_SUM,bereavement_EVER_SUM,bully_EVER_SUM,depressed_EVER_SUM,domestic_violence_EVER_SUM,eating_EVER_SUM,election_EVER_SUM,family_EVER_SUM,financial_EVER_SUM,friend_EVER_SUM,gender_lgbtq_EVER_SUM,homeless_EVER_SUM,homicide_EVER_SUM,isolated_EVER_SUM,medical_EVER_SUM,medication_EVER_SUM,mental_EVER_SUM,military_EVER_SUM,other_EVER_SUM,psychiatric_hospitalization_EVER_SUM,relationship_EVER_SUM,school_EVER_SUM,self_harm_EVER_SUM,sexual_assault_EVER_SUM,stress_EVER_SUM,substance_abuse_EVER_SUM,suicidal_capability_EVER_SUM,suicidal_desire_EVER_SUM,suicidal_intent_EVER_SUM,suicidal_thoughts_EVER_SUM,suicidal_timeframe_EVER_SUM,therapist_psychiatrist_EVER_SUM,work_EVER_SUM,UndupNumIssues_MEAN,UndupNumIssues_MEDIAN,UndupNumIssues_MIN,UndupNumIssues_MAX,Stigma_MEAN,Stigma_MEDIAN,Stigma_MIN,Stigma_MAX
CHENANGO,36017,Chenango,12,3,7,6,5,11,24,8,20,16,8,20,0,14,4,87,35,8,13,14,11,6,7,3,4,3,4,3,2,4,3,6,4,1,3,5,7,2,6,12,9,22,19,26,24,14,17,18,35,46,19,4,2,6,33,1,13,2,29,10,2,10,4,3,33,27,3,3,8,1,1,0,2,0,0,7,0,1,0,1,0,0,1,42,22,18,8,2,2,59.43715847,57.90000005,7.91666673,115.5833333,140,7.757142857,5,1,19,288603.2445,218124.7333,112.7666666,878229.3167,4810.054076,3635.412222,1.879444444,14637.15528,200.4189198,151.4755093,0.078310185,609.8814699,60.72952295,2.8,2,0,12,11,20,47,102,2,38,110,0,7,0,62,6,38,20,2,0,38,26,9,28,0,9,0,71,36,63,9,65,3,60,85,64,87,34,0,2,8.242857143,8,0,17,2.060606061,1,1,5
CLINTON,36019,Clinton,18,16,14,10,10,22,26,16,18,18,18,14,2,8,62,58,70,18,16,16,14,15,12,5,5,1,2,1,0,2,12,1,8,3,9,12,7,7,10,14,10,43,19,22,19,32,26,39,45,27,28,7,1,4,39,6,4,5,29,21,2,13,4,11,57,42,5,4,7,14,8,7,1,1,0,7,2,0,0,2,0,3,0,21,9,7,3,3,2,50.0993295,47.3083333,3.8,112.2833333,200,4.935,2,1,21,306725.3607,220284.5667,57.4333334,956080.1,5112.089344,3671.409444,0.957222223,15934.66833,213.0037227,152.9753935,0.039884259,663.9445139,51.15235539,2.09,2,0,9,2,2,7,84,12,4,90,1,17,2,61,6,65,6,0,0,52,13,7,39,0,23,0,106,21,54,0,78,31,23,37,27,43,9,10,34,4.83,4,0,12,2.539772727,3,1,5
COLUMBIA,36021,Columbia,11,15,18,22,22,24,21,17,8,2,6,13,0,25,34,64,56,15,15,15,14,8,6,2,0,1,0,2,3,4,3,6,5,10,8,6,8,6,14,13,15,25,19,33,24,20,31,27,60,37,15,9,1,4,33,5,6,3,23,15,4,12,8,4,36,20,3,4,5,10,3,1,1,3,0,5,1,0,0,2,0,0,0,22,7,5,2,3,2,50.68719512,48.94166668,4.666666667,110.5833333,179,5.782122905,4,1,17,427237.3778,361928.35,6.583333333,1294332.533,7120.622964,6032.139167,0.109722222,21572.20889,296.6926235,251.3391319,0.004571759,898.842037,51.27915714,1.94972067,2,0,8,2,2,26,73,24,22,108,16,16,4,52,4,54,13,0,0,37,45,15,21,0,28,0,75,7,52,0,73,17,8,35,9,73,6,0,27,5.273743017,5,0,15,2.388535032,3,1,5
CORTLAND,36023,Cortland,9,12,20,32,31,19,29,13,12,15,25,16,1,5,97,80,50,20,20,27,15,13,10,3,8,1,4,4,5,8,6,4,12,10,3,10,9,11,15,7,8,39,33,43,31,22,33,32,84,66,30,7,1,3,42,6,11,11,44,28,13,22,6,11,41,40,6,2,13,15,0,1,3,0,0,11,0,0,0,2,2,0,0,49,25,16,6,4,2,54.11657986,51.70833337,3.483333333,115.1166666,233,15.20171674,5,1,39,602774.7262,601516.7167,562.0666667,1174762.65,10046.24544,10025.27861,9.367777778,19579.3775,418.5935599,417.7199421,0.390324074,815.8073958,54.68745298,2.549356223,2,0,11,7,29,30,141,47,40,177,0,40,0,143,2,96,41,0,0,130,43,32,49,0,102,4,144,56,118,0,140,37,71,99,85,139,37,0,0,8.922746781,8,0,18,2.352657005,3,1,5
DELAWARE,36025,Delaware,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35,9.35,5.516666667,13.18333333,2,2,2,2,2,8585.483333,8585.483333,8585.483333,8585.483333,143.0913889,143.0913889,143.0913889,143.0913889,5.962141204,5.962141204,5.962141204,5.962141204,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4,5
DUTCHESS,36027,Dutchess,132,96,113,124,114,117,132,97,89,109,120,93,12,248,437,391,248,99,132,120,112,76,53,27,19,14,10,9,21,26,28,47,49,42,41,56,69,66,71,72,77,196,215,230,197,166,159,173,367,167,168,46,21,26,249,29,27,27,225,120,37,96,43,82,225,268,37,14,40,71,54,4,10,2,0,67,1,2,0,2,1,3,1,101,33,21,8,8,8,52.10960068,49.33333333,2.416666667,115.7833333,1336,12.18862275,4,1,59,519201.2657,468346.2833,23.83333333,1877605.933,8653.354428,7805.771389,0.397222222,31293.43222,360.5564345,325.2404745,0.016550926,1303.893009,52.84473667,1.926646707,1.5,0,11,44,95,89,780,147,80,880,10,114,4,666,111,524,131,3,0,487,390,60,254,0,513,3,665,345,454,1,770,122,200,331,225,536,38,17,215,6.964071856,6,0,18,2.511271416,3,1,5
ERIE,36029,Erie,259,266,300,250,308,412,385,199,234,200,275,273,45,212,666,1246,1192,253,299,332,287,233,179,103,82,38,29,23,29,53,93,96,78,93,115,117,144,139,155,175,216,538,486,488,485,453,411,500,956,713,371,99,83,99,695,87,78,100,629,294,78,306,89,262,579,622,82,54,157,188,83,28,38,21,4,112,9,10,0,17,5,28,18,577,268,158,64,18,15,52.24807176,50.25833332,1.983333333,115.9833333,3361,12.08836656,4,1,82,441003.373,334575.8,8.666666635,1707217.333,7350.056217,5576.263333,0.144444444,28453.62222,306.2523424,232.3443056,0.006018518,1185.567593,53.22565497,2.304671229,2,0,14,267,420,461,1823,311,332,2159,69,478,65,1748,364,1276,261,56,0,1326,498,139,712,8,1216,28,1424,504,1029,76,1838,337,614,1388,808,1664,387,207,396,7.345730437,6,0,22,2.346707819,3,1,5
ESSEX,36031,Essex,5,7,4,4,7,13,7,2,5,4,6,5,0,2,12,24,31,7,8,3,9,1,3,0,1,0,1,0,0,0,0,1,1,3,1,1,2,7,6,5,9,11,8,13,16,4,6,11,12,12,0,2,0,1,11,1,8,0,15,8,0,7,0,5,20,5,1,1,5,3,0,2,1,1,1,3,0,0,0,0,0,1,1,11,5,4,1,0,0,52.89126985,52.56666667,4.333333365,110,69,4.347826087,3,1,10,341160.4503,194474.4333,2590.083333,1342306.117,5686.007506,3241.240556,43.16805556,22371.76861,236.9169794,135.0516898,1.798668981,932.1570255,52.89438726,2.043478261,2,0,9,8,0,1,29,8,17,26,1,2,0,40,6,25,0,0,0,28,0,0,12,5,14,0,32,13,0,1,20,8,8,19,16,20,1,10,0,5.362318841,5,0,14,2.682539683,3,1,5
FRANKLIN,36033,Franklin,6,5,9,4,10,14,12,4,12,13,5,4,0,0,18,47,33,8,11,10,13,7,2,1,0,1,0,0,2,2,1,1,3,7,4,4,0,4,4,3,10,14,14,20,13,13,16,8,17,15,7,2,1,1,28,3,2,1,25,14,4,6,3,10,15,22,3,4,6,5,1,0,3,0,0,2,0,0,0,0,0,1,0,13,6,5,2,0,0,44.81923077,41.4666667,1.649999968,102.9833333,98,2.653061224,2,1,8,202101.5277,99256.85,38.31666663,727353.25,3368.358795,1654.280833,0.638611111,12122.55417,140.3482831,68.92836806,0.026608796,505.1064236,44.86408521,2.244897959,2,0,9,5,1,1,51,5,10,28,0,4,0,41,11,28,9,0,0,14,4,0,7,0,22,0,29,7,15,0,40,4,5,14,6,16,2,1,2,3.897959184,3,0,10,2.541176471,3,1,5
FULTON,36035,Fulton,9,5,18,14,21,9,29,10,12,16,14,3,0,1,22,70,67,7,13,16,14,13,3,8,7,1,1,0,2,5,2,5,4,7,5,9,2,5,7,8,16,23,16,15,19,26,35,26,49,21,17,7,4,5,33,17,4,9,42,21,1,23,2,6,43,41,7,8,12,11,3,3,1,0,1,2,1,0,1,0,1,3,1,16,5,2,1,1,1,53.44733796,46.54166665,2.233333302,115.1333334,160,6.08125,2,1,22,423247.432,290796.15,193.9166667,1270326.45,7054.123866,4846.6025,3.231944444,21172.1075,293.9218278,201.9417708,0.134664352,882.1711458,54.4365223,2.51875,2,0,16,15,24,18,76,28,11,84,0,19,1,73,13,54,1,0,3,66,16,0,32,1,20,22,75,16,58,5,83,41,6,60,11,65,1,7,27,6.45,4,0,17,2.517006803,3,1,5
