ZipCode,StartMonthJan,StartMonthFeb,StartMonthMar,StartMonthApr,StartMonthMay,StartMonthJun,StartMonthJul,StartMonthAug,StartMonthSept,StartMonthOct,StartMonthNov,StartMonthDec,StartYear2013,StartYear2014,StartYear2015,StartYear2016,StartYear2017,StartHour0,StartHour1,StartHour2,StartHour3,StartHour4,StartHour5,StartHour6,StartHour7,StartHour8,StartHour9,StartHour10,StartHour11,StartHour12,StartHour13,StartHour14,StartHour15,StartHour16,StartHour17,StartHour18,StartHour19,StartHour20,StartHour21,StartHour22,StartHour23,StartDayMon,StartDayTues,StartDayWed,StartDayThurs,StartDayFri,StartDaySat,StartDaySun,depressed_raw,suicidal_thoughts_raw,self_harm_raw,third_party_raw,abuse_physical_raw,abuse_sexual_raw,anxiety_raw,bereavement_raw,bully_raw,eating_raw,family_raw,friend_raw,gender_lgbtq_raw,isolated_raw,medical_raw,other_raw,relationship_raw,stress_raw,substance_abuse_raw,financial_raw,mental_raw,none_raw,work_raw,testing_raw,abuse_emotional_raw,domestic_violence_raw,military_raw,school_raw,election_raw,homeless_raw,homicide_raw,medication_raw,psychiatric_hospitalization_raw,therapist_psychiatrist_raw,sexual_assault_raw,suicidal_desire_raw,suicidal_intent_raw,suicidal_capability_raw,suicidal_timeframe_raw,active_rescue_raw,mandatory_report_raw,Convo_length_min_MEAN,Convo_length_min_MEDIAN,Convo_length_min_MIN,Convo_length_min_MAX,convo,NumConvos_MEAN,NumConvos_MEDIAN,NumConvos_MIN,NumConvos_MAX,FirstToLastConvoMin_MEAN,FirstToLastConvoMin_MEDIAN,FirstToLastConvoMin_MIN,FirstToLastConvoMin_MAX,FirstToLastConvoHours_MEAN,FirstToLastConvoHours_MEDIAN,FirstToLastConvoHours_MIN,FirstToLastConvoHours_MAX,FirstToLastConvoDays_MEAN,FirstToLastConvoDays_MEDIAN,FirstToLastConvoDays_MIN,FirstToLastConvoDays_MAX,actor_meanlength_min,NumIssues_MEAN,NumIssues_MEDIAN,NumIssues_MIN,NumIssues_MAX,abuse_emotional_EVER_SUM,abuse_physical_EVER_SUM,abuse_sexual_EVER_SUM,anxiety_EVER_SUM,bereavement_EVER_SUM,bully_EVER_SUM,depressed_EVER_SUM,domestic_violence_EVER_SUM,eating_EVER_SUM,election_EVER_SUM,family_EVER_SUM,financial_EVER_SUM,friend_EVER_SUM,gender_lgbtq_EVER_SUM,homeless_EVER_SUM,homicide_EVER_SUM,isolated_EVER_SUM,medical_EVER_SUM,medication_EVER_SUM,mental_EVER_SUM,military_EVER_SUM,other_EVER_SUM,psychiatric_hospitalization_EVER_SUM,relationship_EVER_SUM,school_EVER_SUM,self_harm_EVER_SUM,sexual_assault_EVER_SUM,stress_EVER_SUM,substance_abuse_EVER_SUM,suicidal_capability_EVER_SUM,suicidal_desire_EVER_SUM,suicidal_intent_EVER_SUM,suicidal_thoughts_EVER_SUM,suicidal_timeframe_EVER_SUM,therapist_psychiatrist_EVER_SUM,work_EVER_SUM,UndupNumIssues_MEAN,UndupNumIssues_MEDIAN,UndupNumIssues_MIN,UndupNumIssues_MAX,Stigma_MEAN,Stigma_MEDIAN,Stigma_MIN,Stigma_MAX
11768,3,4,4,3,4,0,5,3,2,2,3,0,0,2,3,15,13,2,3,4,3,1,1,0,0,0,0,1,0,1,0,0,0,3,0,3,2,1,4,3,1,4,3,4,3,9,3,7,6,2,6,3,0,1,6,1,0,0,5,4,0,3,0,1,5,3,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,2,44.9925287433054,39.05,14.5499999682109,80.9833333333333,33,2.09090909090909,2,1,4,322121.226315789,86201.7833333015,2983.05000003179,1324920.16666667,5368.68710526316,1436.69638888836,49.7175000005298,22082.0027777778,223.695296052632,59.862349537015,2.07156250002208,920.083449074074,45.9109375074506,1.51515151515152,1,0,7,0,0,2,8,1,0,12,0,0,4,8,0,6,0,0,0,4,0,0,2,0,1,0,6,0,12,1,5,0,0,3,0,3,0,0,2,2.42424242424242,2,0,7,2.61538461538462,3,1,5
11771,3,5,6,5,3,2,4,7,2,1,2,4,0,5,9,20,10,4,3,4,1,5,1,1,1,0,0,2,0,0,0,3,0,1,4,2,2,3,3,2,2,7,11,2,9,5,2,8,10,2,4,3,0,0,4,1,4,2,13,10,0,4,1,3,6,5,1,0,2,2,1,0,0,0,0,4,0,0,0,0,0,1,1,2,1,1,0,0,0,44.5444444460747,42.5000000317891,2.34999996821086,84.1666666984558,44,3.22727272727273,2,1,9,407128.11388888,436209.85,468.133333333333,674273.216666635,6785.46856481466,7270.16416666667,7.80222222222222,11237.8869444439,282.727856867277,302.923506944444,.325092592592593,468.24528935183,44.6374307878522,1.88636363636364,1,0,5,0,0,0,8,4,12,24,0,2,0,14,0,26,0,0,0,13,9,0,3,0,3,0,16,8,6,1,9,1,1,2,1,2,0,1,1,3.79545454545455,3,0,8,2.92857142857143,3,1,5
11772,17,7,20,15,29,21,16,11,12,14,14,20,12,22,24,71,67,11,18,25,15,18,7,7,3,1,0,0,1,1,9,7,6,3,4,10,13,8,9,9,11,34,25,34,27,33,17,26,48,31,46,6,1,1,52,5,2,9,30,17,10,13,2,15,19,34,3,1,4,8,1,3,2,0,0,7,0,1,0,1,0,2,1,28,9,8,1,0,0,53.0800366328313,50.4166666507721,3.55000003178914,112.633333333333,196,10.5102040816327,5,1,35,768942.133827164,593165.616666698,24.1,1864903.98333333,12815.7022304527,9886.09361111164,.401666666666667,31081.7330555556,533.987592935531,411.920567129652,.0167361111111111,1295.07221064815,53.0587852286823,2.06122448979592,2,0,8,2,1,1,121,49,20,122,0,33,0,88,1,81,37,1,0,96,41,16,31,0,44,0,63,28,97,12,104,14,73,99,73,106,5,19,1,7.54591836734694,6,0,15,2.32926829268293,2,1,5
11777,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62.3458333094915,55.9833333174388,37.4333333015442,99.9833333015442,4,1.5,1.5,1,2,66745.7833333333,66745.7833333333,66745.7833333333,66745.7833333333,1112.42972222222,1112.42972222222,1112.42972222222,1112.42972222222,46.3512384259259,46.3512384259259,46.3512384259259,46.3512384259259,62.3458333094915,1.5,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.5,1,0,4,2.25,2,1,4
11779,1,1,3,0,5,2,2,0,1,0,5,1,0,0,9,4,8,1,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,3,1,2,2,1,1,4,4,3,3,1,4,2,4,2,1,2,0,1,2,0,0,0,2,7,0,3,0,5,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,37.8833333363609,30.35,5.29999996821086,98.1833333333333,21,3.52380952380952,4,1,6,206148.137777765,75664.4666666667,22853.0333333015,610195.783333333,3435.80229629608,1261.07444444444,380.883888888359,10169.9297222222,143.158429012337,52.5447685185185,15.870162037015,423.747071759259,38.3438492089983,1.76190476190476,1,0,5,0,0,1,5,0,0,5,0,0,0,2,0,10,0,0,0,6,0,0,0,0,11,0,6,3,3,0,7,0,0,3,3,7,0,0,0,3.42857142857143,2,1,7,3.13333333333333,3,1,5
11780,0,1,0,1,2,0,0,0,0,0,2,0,0,0,0,4,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,2,1,3,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,49.5861111005147,47.9999999682109,24.5333333333333,77.3,6,1.33333333333333,1,1,2,12022.9166666667,12022.9166666667,12022.9166666667,12022.9166666667,200.381944444444,200.381944444444,200.381944444444,200.381944444444,8.34924768518519,8.34924768518519,8.34924768518519,8.34924768518519,49.5861111005147,2.66666666666667,2.5,1,5,2,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,0,0,3,0,3,0,0,0,3.16666666666667,3,1,5,1.16666666666667,1,1,2
11782,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.6333333333333,42.6333333333333,42.6333333333333,42.6333333333333,1,1,1,1,1, , , , , , , , , , , , ,42.6333333333333,3,3,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,3,1,1,1,1
11783,3,6,4,6,4,1,0,0,0,1,3,4,0,3,1,19,9,3,4,3,1,0,3,1,1,1,0,0,1,0,3,0,2,2,2,1,0,2,0,1,1,8,4,4,5,6,2,3,6,2,4,3,0,0,5,0,0,0,5,6,0,1,2,4,6,7,0,2,0,0,2,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,42.5559139774692,38.6833333651225,5.53333333333333,99.4333333333333,32,2.625,2,1,6,218255.163725486,162230.999999968,6.16666666666667,675939.033333333,3637.58606209144,2703.84999999947,.102777777777778,11265.6505555556,151.566085920477,112.660416666645,.00428240740740741,469.402106481481,42.5559139774692,1.8125,1,0,5,6,0,0,12,0,0,11,6,0,0,8,6,14,0,6,0,4,6,0,0,0,7,0,9,0,4,0,13,0,0,2,0,3,0,0,7,3.875,2.5,0,10,2.52380952380952,3,1,5
11784,35,9,22,24,25,27,21,11,7,13,23,13,1,14,27,110,78,16,19,21,25,5,14,6,4,2,3,0,1,1,7,9,5,7,12,10,13,11,14,14,11,37,41,36,32,27,28,29,76,31,30,3,3,3,52,13,3,5,48,35,16,22,3,10,53,45,10,3,7,16,6,3,5,0,0,11,3,0,0,1,1,0,0,25,10,6,1,2,2,53.1454620484078,53.4583333333333,2.76666666666667,115.6,230,5.79130434782609,2,1,22,439274.974242427,361021.308333317,140.783333301544,1258294.4666667,7321.24957070711,6017.02180555529,2.34638888835907,20971.574444445,305.052065446129,250.709241898137,.0977662036816279,873.815601851874,53.3972197222113,2.33478260869565,2,0,11,50,18,3,118,34,4,138,0,51,4,110,45,105,38,0,0,80,27,2,57,0,45,2,105,57,80,0,109,32,21,78,23,78,1,0,35,6.73913043478261,5,0,20,2.59047619047619,3,1,5
11787,6,8,1,5,4,4,8,0,7,7,2,0,1,3,8,15,25,1,8,5,1,5,3,0,0,1,0,1,0,1,0,1,1,4,4,2,1,6,3,2,2,12,7,5,7,9,5,7,17,9,6,2,1,1,11,0,3,1,13,6,0,5,1,3,6,9,2,1,5,4,2,0,1,0,0,5,0,0,0,0,1,2,0,7,6,4,0,0,2,52.0396296225654,44.5166666666667,10.1166666666667,110.266666634878,52,2.90384615384615,2,1,8,229977.491935492,91862.7166666667,5470.1,546547.266666699,3832.95819892487,1531.04527777778,91.1683333333333,9109.12111111164,159.70659162187,63.7935532407407,3.79868055555556,379.546712962985,54.5970833260218,2.46153846153846,2,0,9,3,8,8,22,0,10,24,0,8,0,20,2,14,0,0,0,13,1,0,9,0,7,2,6,8,12,0,21,2,9,15,12,20,0,4,4,5.07692307692308,4,0,15,2.36734693877551,3,1,5
